conm,gvkey
COSMOS GROUP HOLDINGS INC,33183
COSMOS HEALTH INC,18874
COSTAR GROUP INC,112111
COSTAR TECHNOLOGIES INC,132799
COSTCO WHOLESALE CORP,29028
COTERRA ENERGY INC,20548
COTIVITI HOLDINGS INC,27245
COTY INC,12151
COUCHBASE INC,39059
COUNTERPATH CORP,164746
COUNTY BANCORP INC,22201
COUNTY FIRST BK LA PLATA MD,120214
COUPA SOFTWARE INC,28084
COUPANG INC,38092
COURIER CORP,3556
COURSERA INC,38265
COUSINS PROPERTIES INC,3562
COVANCE INC,64162
COVANTA HOLDING CORP,23485
COVENANT LOGISTICS GROUP INC,30877
COVER-ALL TECHNOLOGIES INC,11286
COVETRUS INC,34765
COVIA HOLDINGS CORP,33588
COVISINT CORP,18571
COWEN INC,183797
CPI AEROSTRUCTURES INC,25726
CPI CARD GROUP INC,25539
CPI INTERNATIONAL HLDG CORP,166433
CPS TECHNOLOGIES CORP,13582
CRA INTERNATIONAL INC,109919
CRACKER BARREL OLD CTRY STOR,3570
CRAFT BREW ALLIANCE INC,61192
CRANE HOLDINGS CO,3580
CRAWFORD & CO,3581
CRAWFORD UNITED CORP,5621
CRAY INC,61350
CREATD INC,26920
CREATIVE MED TECH HLDG INC,182902
CREATIVE MEDIA & COM TR CORP,19966
CREATIVE REALITIES INC,21554
CREDIT ACCEPTANCE CORP,25339
CREDIT ONE FINANCIAL INC,160766
CREDITRISKMONITOR.COM INC,7841
CREEK ROAD MINERS INC,186553
CRESCENT CAPITAL BDC INC,36133
CRESCENT ENERGY COMPANY,40383
CRESTWOOD EQUITY PARTNERS LP,162894
CRESTWOOD MIDSTREAM PTNRS LP,177124
CREXENDO INC,111629
CRICUT INC,184470
CRIMSON WINE GROUP LTD,17285
CRINETICS PHARMCTCL INC,33723
CROCS INC,164755
CROGHAN BANCSHARES INC,63402
CROSS BORDER RESOURCES INC,186212
CROSS CLICK MEDIA INC,185554
CROSS COUNTRY HEALTHCARE INC,144396
CROSS TIMBERS ROYALTY TRUST,24980
CROSSAMERICA PARTNERS LP,15212
CROSSFIRST BANKSHARES INC,35455
CROSSROADS CAPITAL INC,199757
CROSSROADS IMPACT CORP,125276
CROWDSTRIKE HOLDINGS INC,35182
CROWN CASTLE INC,113490
CROWN CRAFTS INC,3622
CROWN EQUITY HOLDINGS INC,63516
CROWN HOLDINGS INC,3619
CROWN MEDIA HOLDINGS INC,134026
CRYO-CELL INTERNATIONAL INC,23790
CRYOPORT INC,162146
CRYPTYDE INC,41234
CRYSTAL ROCK HOLDINGS INC,25731
CS DISCO INC,39199
CSB BANCORP INC/OH,65924
CSC HOLDINGS LLC,123834
CSG SYSTEMS INTL INC,62266
CSI COMPRESSCO LP,181745
CSP INC,2573
CSRA INC,26304
CSS INDUSTRIES INC,2556
CST BRANDS INC,17699
CSW INDUSTRIALS INC,24601
CSX CORP,2574
CTC MEDIA INC,166639
CTI BIOPHARMA CORP,64515
CTI GROUP HOLDINGS INC,3270
CTO REALTY GROWTH INC,3429
CTPARTNERS EXEC SEARCH INC,185926
CTS CORP,2577
CU BANCORP/CA,164059
CUBESMART,160990
CUBIC CORP,3639
CUBIC ENERGY INC,133166
CUE BIOPHARMA,32674
CUE HEALTH INC,39563
CUENTAS INC,18885
CULLEN/FROST BANKERS INC,3643
CULLINAN ONCOLOGY INC,37675
CULLMAN BANCORP INC,183663
CULP INC,3647
CUMBERLAND PHARMACEUTICALS,178097
CUMMINS INC,3650
CUMULUS MEDIA INC,112030
CUR MEDIA INC,19790
CURAEGIS TECHNOLOGIES INC,115243
CURIOSITYSTREAM INC,37214
CURIS INC,138341
CURO GROUP HLDGS CORP,22439
CURRENCY EXCHANGE INTL CORP,170868
CURTISS-WRIGHT CORP,3662
CUSTOM TRUCK ONE SOURCE INC,35490
CUSTOMERS BANCORP INC,170396
CUTERA INC,146648
CV SCIENCES INC,187711
CVB FINANCIAL CORP,20019
CVD EQUIPMENT CORP,2581
CVENT HOLDING CORP,37356
CVENT INC,18322
CVR ENERGY INC,178672
CVR PARTNERS LP,186139
CVR REFINING LP,15093
CVRX INC,39127
CVS HEALTH CORP,7241
CYALUME TECHNOLOGIES HLDGS,177545
CYAN INC,17692
CYANOTECH CORP,12575
CYBERFORT SOFTWARE INC,193159
CYBEROPTICS CORP,14108
CYCLACEL PHARMACEUTICALS,160809
CYCLERION THERAPEUTICS,34746
CYCLO THERAPEUTICS INC,106100
CYMABAY THERAPEUTICS INC,19600
CYNERGISTEK INC,116829
CYNGN INC,39575
CYNOSURE INC,164664
CYPRESS ENVIRONMNTL PRTNS LP,19184
CYPRESS SEMICONDUCTOR CORP,12215
CYRUSONE INC,16116
CYTEC INDUSTRIES INC,29511
CYTEIR THERAPEUTICS INC,38925
CYTEK BIOSCIENCES INC,39246
CYTODYN INC,164720
CYTOKINETICS INC,158563
CYTOMX THERAPEUTICS INC,26112
CYTOSORBENTS CORP,163965
CYTTA CORP,178303
CYXTERA TECHNOLOGIES INC,39371
D R HORTON INC,25340
DACOTAH BANKS INC,23547
DAEGIS INC,63057
DAILY JOURNAL CORP,12568
DAKOTA PLAINS HOLDINGS INC,170994
DAKTRONICS INC,29705
DALLASNEWS CORP,179288
DANA INC,3734
DANAHER CORP,3735
DANDRIT BIOTECH USA INC -OLD,22268
DANIMER SCIENTIFIC INC,37630
DARA BIOSCIENCES INC,179428
DARDEN RESTAURANTS INC,31846
DARIOHEALTH CORP,17485
DARKPULSE INC,33858
DARLING INGREDIENTS INC,30651
DASAN ZHONE SOLUTIONS INC,28071
DASEKE INC,24552
DATA I/O CORP,3761
DATA STORAGE CORP,179363
DATADOG INC,35620
DATALINK CORP,113269
DATARAM CORP - OLD,3785
DATASEA INC,26415
DATATRAK INTERNATIONAL INC,63018
DATAWATCH CORP,25320
DATCHAT INC,39426
DATTO HOLDING CORP,37254
DAVE & BUSTER'S ENTMT INC,60923
DAVEY TREE EXPERT CO,3801
DAVITA INC,61483
DAWSON GEOPHYSICAL CO,3806
DAYBREAK OIL & GAS INC,122197
DAYTON POWER & LIGHT INC,12612
DBUB GROUP INC,134504
DCB FINANCIAL CORP,65214
DCP MIDSTREAM LP,165466
DCT INDUSTRIAL TRUST INC,176268
DEALERTRACK TECHNOLOGIES INC,164422
DEAN FOODS CO,62655
DEBT RESOLVE INC,165442
DECIPHERA PHRMCTAL INC,32383
DECISION DIAGNOSTICS CORP,146775
DECISIONPOINT SYSTEMS INC,179454
DECKERS OUTDOOR CORP,29015
DEEP WELL OIL & GAS INC,29675
DEER VALLEY CORP,119133
DEERE & CO,3835
DEERE (JOHN) CAPITAL CORP,3836
DEFINITIVE HEALTH CORP,39476
DEL FRISCOS RESTURNT GRP INC,179094
DEL TACO RESTAURANTS INC,19168
DELANCO BANCORP INC,177062
DELCATH SYSTEMS INC,140023
DELEK LOGISTICS PARTNERS LP,12833
DELEK US HOLDINGS INC,166563
DELL TECHNOLOGIES INC,14489
DELMARVA POWER & LIGHT CO,114789
DELTA AIR LINES INC,3851
DELTA APPAREL INC,137432
DELTA NATURAL GAS CO INC,3855
DELTA TUCKER HOLDINGS INC,165653
DELTATHREE INC,126714
DELTIC TIMBER CORP,64135
DELUXE CORP,3863
DEMANDWARE INC,187687
DENALI THERAPEUTCS INC,32775
DENBURY INC,20653
DENMARK BANCSHARES INC,112652
DENNYS CORP,19398
DENTSPLY SIRONA INC,13700
DERMA SCIENCES INC,30205
DERMADOCTOR INC -REDH,33658
DERMIRA INC,21617
DERMTECH INC,20621
DESIGN THERAPEUTIS INC,38441
DESIGNER BRANDS INC,24171
DESKTOP METAL INC,37537
DESTINATION MATERNITY CORP,27936
DESTINATION XL GROUP INC,13381
DESTINY MEDIA TECHNOLOGIES,122202
DETERMINE INC,132644
DETREX CORP,3895
DETROIT EDISON CO,65089
DEVON ENERGY CORP,14934
DEWEY ELECTRONICS CORP,3908
DEX MEDIA INC,111631
DEXCOM INC,162887
DEXTERA SURGICAL INC,165943
DGT HOLDINGS CORP,3839
DHI GROUP INC,177943
DIADEXUS INC,121819
DIAMOND FOODS INC,163627
DIAMOND HILL INVESTMENT GRP,65235
DIAMOND OFFSHRE DRILLING INC,61409
DIAMOND RESORTS INTL,185363
DIAMONDBACK ENERGY INC,170750
DIAMONDROCK HOSPITALITY CO,160706
DICE THERAPEUTICS INC,39508
DICERNA PHARMACEUTICALS INC,19470
DICKS SPORTING GOODS INC,150139
DIEBOLD NIXDORF INC,3946
DIGERATI TECHNOLOGIES INC,105364
DIGI INTERNATIONAL INC,16710
DIGILITI MONEY GROUP INC,21076
DIGIMARC CORP,181290
DIGIPATH INC,170378
DIGITAL ALLY INC,162233
DIGITAL BRANDS GRP INC,35152
DIGITAL MEDIA SOLUTIONS INC,36748
DIGITAL REALTY TRUST INC,160991
DIGITAL TURBINE INC,9551
DIGITALBRIDGE GROUP INC,183603
DIGITALGLOBE INC,180029
DIGITALOCEAN HOLDINGS INC,38188
DILLARDS INC  -CL A,3964
DIME COMMUNITY BANCSHARES,63135
DIMECO INC,31028
DIMENSION THERAPEUTICS INC,26197
DINE BRANDS GLOBAL INC,24291
DIODES INC,3969
DIPLOMAT PHARMACY INC,21047
DIRECT DIGITAL HOLDINGS INC,40261
DIRECTV,12206
DISCOVER FINANCIAL SVCS,177376
DISH DBS CORP,146206
DISH NETWORK CORP,60900
DISNEY (WALT) CO,3980
DISTRIBUTION SOLUTIO GRO INC,6617
DITECH HOLDING CORP,182788
DIVERSICARE HEALTHCARE SVCS,30175
DIVERSIFIED HEALTHCARE TRUST,124046
DIVERSIFIED RESTAURANT HLDGS,180759
DIXIE GROUP INC,4001
DLH HOLDINGS CORP,12304
DMC GLOBAL INC,4497
DNB FINANCIAL CORP,30082
DNIB UNWIND INC,18535
DOCGO INC,37146
DOCUSIGN INC,33301
DOLBY LABORATORIES INC,162354
DOLLAR GENERAL CORP,4016
DOLLAR TREE INC,31587
DOLPHIN ENTERTAINMENT INC,175299
DOMA HOLDINGS INC,39357
DOMINARI HOLDINGS INC,18738
DOMINION ENERGY INC,4029
DOMINION ENRG MIDSTRM PRT LP,21918
DOMINION RES BLACK WARRIOR,30740
DOMINO'S PIZZA INC,160211
DOMO INC,33603
DOMTAR CORP,176760
DONALDSON CO INC,4036
DONEGAL GROUP INC,16714
DONNELLEY (R R) & SONS CO,4040
DONNELLEY FINANCIAL SOLTNS,27803
DOORDASH INC,37420
DORCHESTER MINERALS  -LP,4045
DORMAN PRODUCTS INC,23753
DOT HILL SYSTEMS CORP,65413
DOUBLEVERIFY HOLD INC,38412
DOUGHERTYS PHARMACY INC,126314
DOUGLAS DYNAMICS INC,184258
DOUGLAS ELLIMAN INC,40417
DOUGLAS EMMETT INC,175307
DOVA PHARMACEUTICAL INC,31657
DOVER CORP,4058
DOVER DOWNS GAMING & ENTMT,147657
DOVER MOTORSPORTS INC,63708
DOVER SADDLERY INC,165053
DOW INC,34443
DOXIMITY INC,38927
DPL INC,3814
DR FOODS INC,12988
DR PEPPER SNAPPLE GROUP INC,179700
DRAFTKINGS INC,36404
DREAM FINDERS HOMES INC,37793
DREAMWORKS ANIMATION SKG INC,160912
DRESSER-RAND GROUP INC,163948
DRIL-QUIP INC,65671
DRIVE SHACK INC,147303
DRIVEN BRANDS HOLDINGS INC,37751
DRONE AVIATION HOLDING -OLD,180665
DROPBOX INC,33152
DROPCAR INC,33047
DS HEALTHCARE GROUP INC,184339
DSP GROUP INC,29722
DSS INC,18290
DST SYSTEMS INC,3707
DSWISS INC,30092
DT MIDSTREAM INC,39041
DTE ENERGY CO,3897
DTS INC,153813
DU PONT (E I) DE NEMOURS,4087
DUCK CREEK TECHNOL INC,36788
DUCKHORN PORTFOLIO INC (THE),38160
DUCOMMUN INC,4091
DUKE ENERGY CAROLINAS LLC,180942
DUKE ENERGY CORP,4093
DUKE ENERGY FLORIDA INC,4799
DUKE ENERGY INDIANA INC,15448
DUKE ENERGY KENTUCKY,10863
DUKE ENERGY OHIO INC,3039
DUKE ENERGY PROGRESS INC,144848
DUKE REALTY CORP,13510
DULUTH HOLDINGS INC,26335
DUN & BRADSTREET HOLDNGS INC,4094
DUNKIN' BRANDS GROUP INC,174222
DUOLINGO INC,39122
DUPONT DE NEMOURS INC,4060
DUPONT FABROS TECHNOLOGY INC,178610
DURECT CORP,140044
DUTCH BROS INC,39483
DVL INC,3842
DXC TECHNOLOGY CO,3336
DXP ENTERPRISES INC,64223
DYADIC INTERNATIONAL INC,158055
DYAX CORP,112754
DYCOM INDUSTRIES INC,4115
DYNACQ HEALTHCARE INC,25312
DYNARESOURCE INC,63332
DYNASIL CORP OF AMERICA,4130
DYNATRACE INC,35447
DYNATRONICS CORP,4124
DYNAVAX TECHNOLOGIES CORP,141496
DYNEGY INC,25495
E DIGITAL CORP,24717
E TRADE FINANCIAL CORP,63501
E.L.F. BEAUTY INC,27907
EACO CORP,184580
EAGLE BANCORP INC/MD,111721
EAGLE BANCORP MONTANA INC,133764
EAGLE FINANCIAL BANCORP,32238
EAGLE FINANCIAL SERVICES INC,153616
EAGLE MATERIALS INC,30032
EAGLE PHARMACEUTICALS INC,19784
EAGLE ROCK ENERGY PARTNRS LP,175157
EARGO INC,37080
EARTHLINK HOLDINGS CORP,62391
EARTHSTONE ENERGY INC,22671
EASIC CORP  -REDH,23145
EAST DUBUQUE NITRN PRTR LP,187774
EAST WEST BANCORP INC,118042
EASTERLY GOVERNMENT PPTYS,22674
EASTERN BANKSHARES INC,36633
EASTERN CO,4186
EASTERN ENERGY GAS HLDG LLC,18965
EASTERN VA BANKSHARES INC,66148
EASTGROUP PROPERTIES,4193
EASTMAN CHEMICAL CO,29392
EASTMAN KODAK CO,4194
EASTON PHARMACEUTICALS INC,122219
EASTSIDE DISTILLING INC,18398
EATON VANCE CORP,4201
EBAY INC,114524
EBET INC,38339
EBIX INC,13480
ECB BANCORP INC,40855
ECHELON CORP,112774
ECHO GLOBAL LOGISTICS INC,179957
ECHO THERAPEUTICS INC,65812
ECHOSTAR CORP,179202
ECO BUILDING PRODUCTS INC,183901
ECO SCIENCE SOLUTIONS INC,186370
ECO-SHIFT POWER CORP,194355
ECO-STIM ENERGY SOLUTIONS,19350
ECOARK HOLDINGS INC,27086
ECOLAB INC,4213
ECOLOGY AND ENVIRONMENT INC,13128
ECOSPHERE TECHNOLOGIES INC,165876
ECOVYST INC,32285
EDGEWATER BANCORP INC,19635
EDGEWATER TECHNOLOGY INC,63667
EDGEWELL PERSONAL CARE CO,133367
EDGIO INC,177315
EDIBLE GARDEN AG INC,40016
EDISON INTERNATIONAL,9846
EDITAS MEDICINE INC,26874
EDUCATION MANAGEMENT CORP,63907
EDUCATION REALTY TRUST INC,161953
EDUCATIONAL DEVELOPMENT CORP,4225
EDWARDS LIFESCIENCES CORP,133366
EFACTOR GROUP CORP,19098
EFFECTOR THERAPEUTICS INC,39510
EGAIN CORP,124036
EHEALTH INC,174389
EIDOS THERAPEUTICS INC,33641
EIGER BIOPHARMACEUTICALS INC,27046
EKIMAS CORP,63029
EKSO BIONICS HOLDINGS INC,17727
EL CAPITAN PRECIOUS METALS,148151
EL PASO ELECTRIC CO,4241
EL PASO NATURAL GAS CO,146212
EL POLLO LOCO HOLDINGS INC,21124
ELAH HOLDINGS INC,16878
ELANCO ANIMAL HLTH INC,33955
ELDORADO ARTESIAN SPRNGS INC,106254
ELECTR TELE-COMMUNCTN,4292
ELECTRO RENT CORP,4273
ELECTRO SCIENTIFIC INDS INC,4274
ELECTRO-SENSORS INC,4275
ELECTROCORE INC,33614
ELECTROMED INC,185125
ELECTRONIC ARTS INC,16721
ELECTRONIC CIGS INTL GRP LTD,18292
ELECTRONIC SYSTEM TECH INC,21563
ELECTRONICS FOR IMAGING INC,25774
ELEKTROS INC,2485
ELEMENT SOLUTIONS INC,315318
ELEVANCE HEALTH INC,145046
ELEVATE CREDIT INC,26509
ELITE PHARMACEUTICALS INC,106261
ELIZABETH ARDEN INC,61763
ELLIE MAE INC,186955
ELLINGTON FINANCIAL INC,183902
ELLIPSE TECHNOLOGIES -REDH,26375
ELLIS PERRY INTL INC,28303
ELME COMMUNITIES,11301
ELMIRA SVGS BANK ELMIRA/NY,17987
EMAGIN CORP,114698
EMARINE GLOBAL INC,32305
EMBASSY BANCORP INC,185168
EMBECTA CORP,41050
EMC CORP/MA,12053
EMC INSURANCE GROUP INC,16716
EMCLAIRE FINANCIAL CORP,64193
EMCOR GROUP INC,6223
EMCORE CORP,64637
EMERALD HOLDING INC,30998
EMERALD OIL INC,184742
EMERGE ENERGY SERVICES LP,17628
EMERGENT BIOSOLUTIONS INC,176022
EMERGENT CAPITAL INC,185416
EMERSON ELECTRIC CO,4321
EMERSON RADIO CORP,4322
EMISPHERE TECHNOLOGIES INC,15446
EMMAUS LIFE SCIENCES INC,35472
EMMIS COMMUNICATIONS CP-CL A,15337
EMPIRE BANCORP INC,179552
EMPIRE DISTRICT ELECTRIC CO,4331
EMPIRE PETROLEUM CORP,26028
EMPIRE PETROLM PRTS LP -REDH,23939
EMPIRE RESORTS INC,29129
EMPIRE RESOURCES INC,63698
EMPIRE STATE REALTY OP LP,18850
EMPIRE STATE REALTY TR INC,170714
EMPLOYERS HOLDINGS INC,176591
EMPOWERED PRODUCTS INC,187659
EMRISE CORP,12621
EMULEX CORP,4340
ENABLE MIDSTREAM PARTNERS LP,19273
ENACT HOLDINGS INC,38753
ENANTA PHARMACEUTICALS INC,16269
ENB FINANCIAL CORP,18008
ENBRIDGE ENERGY PRTNRS  -LP,24810
ENCISION INC,63122
ENCOMPASS HEALTH CORP,12589
ENCORE CAPITAL GROUP INC,121815
ENCORE WIRE CORP,25572
ENDEAVOR GROUP HOLDINGS,35245
ENDEAVOR IP INC,187689
ENDEAVOUR INTERNATIONAL CORP,146137
ENDOCHOICE HOLDINGS INC,23889
ENDOCYTE INC,185428
ENDOLOGIX INC,63083
ENDONOVO THERAPEUTICS INC,170870
ENDRA LIFE SCIENCES INC,29418
ENDURANCE INTL GRP HLDGS INC,197559
ENER-CORE INC,18352
ENERGEN CORP,4351
ENERGIZER HOLDINGS INC,23083
ENERGOUS CORP,19977
ENERGY & TECHNOLOGY CORP,182123
ENERGY & WATER DEVLPMNT CORP,62209
ENERGY FOCUS INC,30614
ENERGY FUTURE COMPETITIVE,10508
ENERGY FUTURE HOLDINGS CORP,10507
ENERGY RECOVERY INC,179738
ENERGY SERVICES OF AMER CORP,174282
ENERGY TRANSFER LP,165649
ENERGY TRANSFER PARTNERS -LP,141720
ENERGY XXI GULF COAST INC,184006
ENERGYTEK CORP -OLD,62432
ENERJEX RESOURCES INC,183144
ENERNOC INC,177256
ENERPAC TOOL GROUP CORP,1706
ENERSYS,160893
ENERTOPIA CORP,175071
ENFUSION INC,39684
ENGAGE MOBILITY INC,17224
ENGAGESMART LLC,39526
ENGILITY HOLDINGS INC,12413
ENGLOBAL CORP,61971
ENHABIT INC,41366
ENIGMA-BULWARK LTD,176706
ENLINK MIDSTREAM LLC,19935
ENLINK MIDSTREAM PARTNERS LP,150277
ENNIS INC,4390
ENOVA INTERNATIONAL INC,189517
ENOVIS CORP,179577
ENOVIX CORP,39251
ENPHASE ENERGY INC,187450
ENPRO INDUSTRIES INC,148950
ENSIGN GROUP INC,178803
ENSYNC INC,272699
ENSYSCE BIOSCIENCES INC,39160
ENTASIS THRPTCS HLDNG,34016
ENTEGRA FINANCIAL CORP,187721
ENTEGRIS INC,137573
ENTELLUS MEDICAL INC,22667
ENTERGY ARKANSAS,1745
ENTERGY CORP,7366
ENTERGY GULF STATES LA LLC,5387
ENTERGY LOUISIANA LLC,6823
ENTERGY MISSISSSIPPI,7449
ENTERGY NEW ORLEANS,7851
ENTERGY TEXAS INC,179236
ENTERPRISE BANCORP INC/MA,118525
ENTERPRISE FINL SERVICES CP,117141
ENTERPRISE PRODCT PARTNRS LP,112876
ENTERTAINMENT GAMING ASIA,144139
ENTRAVISION COMMUNICATIONS,137943
ENTREPRENEUR UNIVRS BGHT GRP,151607
ENTROPIC COMMUNICATIONS INC,178943
ENUMERAL BIOMEDICAL HLDGS,21576
ENVELA CORP,12096
ENVEN ENERGY CORPORAT -REDH,35063
ENVESTNET INC,184576
ENVIRONMENTAL TECTONICS CORP,4415
ENVIROTECH VEHICLES INC,38407
ENVISION HEALTHCARE CORP,65967
ENVISION HEALTHCARE HLDGS,18432
ENVISTA HOLDINGS CORP,35497
ENVIVA INC,23296
ENVIVIO INC,186995
ENVVENO MEDICAL CORPORATION,32396
ENZO BIOCHEM INC,4418
ENZON PHARMACEUTICALS INC,4409
EOG RESOURCES INC,16478
EOS ENERGY ENTERPRISES INC,37392
EOS INC,28074
EOS PETRO INC,180984
EP ENERGY CORP,18660
EPAM SYSTEMS INC,187697
EPICOR SOFTWARE CORP,117781
EPIQ SYSTEMS INC,64346
EPIRUS BIOPHARMACEUTICALS,21126
EPIZYME INC,17808
EPLUS INC,63986
EPR PROPERTIES,65710
EQT CORP,4430
EQT GP HOLDINGS LP,23072
EQT MIDSTREAM PARTNERS LP,170748
EQUATOR BEVERAGE COMPANY,187348
EQUIFAX INC,4423
EQUINIX INC,138743
EQUITABLE FINANCIAL CORP,165513
EQUITABLE HOLDINGS INC,32767
EQUITRANS MID CORP,34337
EQUITY BANCSHARES INC,26347
EQUITY COMMONWEALTH,13579
EQUITY LIFESTYLE PPTYS INC,27875
EQUITY ONE INC,110382
EQUITY RESIDENTIAL,28733
EQUUS TOTAL RETURN INC,25709
ERBA DIAGNOSTICS INC,128098
ERICKSON INC,184868
ERIE INDEMNITY CO,61380
ERIN ENERGY CORP,184652
EROOMSYSTEM TECHNOLOGIES INC,138342
ESAB CORP,41059
ESCALADE INC,4448
ESCALERA RESOURCES CO,4052
ESCALON MEDICAL CORP,25711
ESCO TECHNOLOGIES INC,23224
ESH HOSPITALITY INC,31758
ESPERION THERAPEUTICS INC,18162
ESPEY MFG & ELECTRONICS CORP,4450
ESQUIRE FINCL HOLD INC,31606
ESSA BANCORP INC,176703
ESSENDANT INC,10981
ESSENTIAL PPT RLTY TST,33684
ESSENTIAL UTILITIES INC,8542
ESSEX PROPERTY TRUST,30293
ESSEX RENTAL CORP,183480
ESTEE LAUDER COMPANIES INC,61567
ESTERLINE TECHNOLOGIES CORP,4460
ETERNITY HEALTHCARE INC,10476
ETHAN ALLEN INTERIORS INC,23252
ETHEMA HEALTH CORP,13631
ETON PHARMACEUTICALS,33997
ETSY INC,23238
EURONET WORLDWIDE INC,64536
EUROPEAN WAX CENTER INC,39365
EUROSITE POWER INC,12320
EVANS & SUTHERLAND CMP CORP,4467
EVANS BANCORP INC,65176
EVENTBRITE INC,34076
EVER HARVEST INTL GROUP INC,176691
EVER-GLORY INTL GROUP INC,165728
EVERBANK FINANCIAL CORP,186428
EVERBRIDGE INC,27874
EVERCEL INC,118574
EVERCOMMERCE INC,38924
EVERCORE INC,174744
EVERGY INC,6338
EVERI HOLDINGS INC,163678
EVERQUOTE INC,33694
EVERSOURCE ENERGY,7970
EVERSPIN TECHNOLOGIES INC,28087
EVERTEC INC,185375
EVERYDAY HEALTH INC,184208
EVERYWARE GLOBAL INC,18025
EVGO INC,39159
EVI INDUSTRIES INC,7295
EVMO INC,33798
EVO PAYMENTS INC,33533
EVOAIR HOLDINGS INC,36576
EVOFEM BIOSCIENCES INC,32961
EVOKE PHARMA INC,18173
EVOLENT HEALTH INC,23818
EVOLUS INC,32919
EVOLUTION PETROLEUM CORP,62626
EVOLV TECHNOLOGIES HOLDINGS,39280
EVOLVE TRANSITION INFRAST LP,175271
EVOQUA WATER TECH,32610
EW SCRIPPS  -CL A,14535
EXA CORP,187773
EXACT SCIENCES CORP,141277
EXACTECH INC,62948
EXAGEN INC,26528
EXAMWORKS GROUP INC,185584
EXAR CORP,4476
EXCEL TRUST INC,184449
EXCELERATE ENERGY INC,40560
EXCHANGE BK SANTA ROSA CALIF,18035
EXCO RESOURCES INC,7422
EXELA TECHNOLOGIES INC,32074
EXELED HOLDINGS INC,63026
EXELIS INC,189490
EXELIXIS INC,133885
EXELON CORP,8539
EXELON GENERATION CO LLC,156418
EXEO ENTERTAINMENT INC,19762
EXETER FINANCE CORP -REDH,34614
EXICURE INC,33499
EXLSERVICE HOLDINGS INC,162449
EXONE CO,17012
EXP WORLD HOLDINGS INC,18875
EXPEDIA GROUP INC,126296
EXPEDITORS INTL WASH INC,4494
EXPENSIFY INC,39895
EXPERIENCE ART & DESIGN INC,192755
EXPION360 INC,40849
EXPONENT INC,23027
EXPRESS INC,184323
EXPRESS SCRIPTS HOLDING CO,25356
EXTENDED STAY AMERICA INC,19163
EXTERRAN CORP,23864
EXTRA SPACE STORAGE INC,160479
EXTRACTION OIL & GAS INC,27677
EXTREME NETWORKS INC,119574
EXXON MOBIL CORP,4503
EYENOVIA INC,32861
EZCORP INC  -CL A,24430
EZFILL HOLDINGS INC,38932
F & M BANK CORP,106373
F N B CORP/FL,18049
F-STAR THERAPEUTICS INC,345556
F45 TRAINING HLDNGS INC,39061
F5 INC,121077
FACTSET RESEARCH SYSTEMS INC,63172
FAH MAI HOLDINGS GROUP INC,23028
FAIR ISAAC CORP,13824
FAIRCHILD SEMICONDUCTOR INTL,65643
FAIRMOUNT SANTROL HOLDINGS,185277
FAIRPOINT COMMUNICATIONS INC,148217
FAIRWAY GROUP HOLDINGS,14868
FALCONRIDGE OIL TECHNOLOGIES,18615
FALCONSTOR SOFTWARE INC,30398
FAMILY DOLLAR STORES,4560
FAMILY ROOM ENTMT CORP,3134
FARMER BROTHERS CO,4579
FARMERS & MERCHANTS BANCORP,31358
FARMERS & MERCHANTS BANK/CA,18094
FARMERS & MERCHANTS BCP/OH,112572
FARMERS BANCORP/IN,61224
FARMERS CAPITAL BANK CORP,18110
FARMERS NATL BANC CORP/OH,29855
FARMLAND PARTNERS INC,19526
FARO TECHNOLOGIES INC,65421
FASTENAL CO,14225
FASTLY INC,35120
FAT BRANDS INC,32592
FATE THERAPEUTICS INC,18562
FATHOM HOLDINGS INC,36084
FAUQUIER BANKSHARES INC,106404
FB FINANCIAL CORP,27871
FBL FINANCIAL GROUP INC-CL A,63288
FBR & CO,175131
FCB FINANCIAL HOLDINGS INC,187252
FEDERAL AGRICULTURE MTG CP,15153
FEDERAL EXPRESS CORP,115336
FEDERAL HOME LOAN MORTG CORP,15208
FEDERAL LIFE GROUP IN,34291
FEDERAL NATIONAL MORTGA ASSN,4601
FEDERAL REALTY INVESTMENT TR,4605
FEDERAL SCREW WORKS,4607
FEDERAL SIGNAL CORP,4608
FEDERAL-MOGUL HOLDINGS CORP,4600
FEDERATED HERMES INC,66731
FEDEX CORP,4598
FEDNAT HOLDING COMPANY,115766
FEI CO,31881
FELCOR LODGING TRUST INC,30495
FEMASYS INC,38829
FENIX PARTS INC,23630
FENTURA FINANCIAL INC,61225
FERRELLGAS PARTNERS  -LP,13962
FERRO CORP,4622
FFBW INC,31839
FFD FINANCIAL CORP,62575
FG FINANCIAL GROUP INC,19528
FG GROUP HOLDINGS INC,61285
FHC HOLDINGS CORP,187041
FIBROCELL SCIENCE INC,21132
FIBROGEN INC,21901
FIDELITY & GUARANTY LIFE,18635
FIDELITY D & D BANCORP INC,18182
FIDELITY NATIONAL INFO SVCS,165993
FIDELITY NATL FINL FNF GROUP,165264
FIDELITY SOUTHERN CORP,30888
FIDUS INVESTMENT CORP,187483
FIELDPOINT PETROLEUM CORP,106418
FIESTA RESTAURANT GROUP INC,187833
FIFTH STREET ASSET MGMT INC,21696
FIFTH THIRD BANCORP,4640
FIGS INC,38770
FINANCE OF AMERICA COMPANIES,38618
FINANCIAL ENGINES INC,184009
FINANCIAL INSTITUTIONS INC,121713
FINCH THERA GRP INC,38389
FINISAR CORP,126417
